Suzuki swift Dlx,"2010 - 87,000 km","JOHAR TOWN, LAHORE","Rs 1,325,000"
Suzuki Swift RX413 DX STD 1328 cc (2011),"2011 - 110,000 km","KORANGI INDUSTRIAL AREA, KARACHI","Rs 1,175,000"
Suzuki Swift Auto,"2015 - 52,000 km","ABUL HASSAN ISPHANI ROAD, KARACHI","Rs 1,785,000"
Swift DLX exchange possible,"2011 - 156,000 km","SAHIWAL, PUNJAB","Rs 1,275,000"
SUZUKI SWIFT 1.3 DLX AUTO 2017,"2017 - 75,000 km","PECHS, KARACHI","Rs 1,895,000"
Suzuki Swift DLX 2016,"2016 - 62,320 km","KARACHI, SINDH","Rs 1,610,000"
"Swift 2019 Maunal Transmission, 100% Orignal, First owner,like new car","2019 - 42,162 km","ANCHOLI, KARACHI","Rs 1,925,000"
SWIFT AUTO 1.3 NAVIGATION,"2018 - 29,000 km","DHA PHASE 2, KARACHI","Rs 1,950,000"
Suzuki Swift (Auto),"2016 - 62,162 km","FEDERAL B AREA, KARACHI","Rs 1,675,000"
Suzuki/swift Dlx 2010,"2010 - 73,000 km","GULSHAN-E-SHAMEEM, KARACHI","Rs 1,135,000"
SWiFT DLX 1.3 Manual,"2012 - 99,000 km","ALI VIEW GARDEN, LAHORE","Rs 1,330,000"
Swift dlx 2010 islb num,2010 - 99 km,"AIRPORT HOUSING SOCIETY, RAWALPINDI","Rs 1,235,000"
Suzuki Swift DLX Automatic 1.3 Navigation,"2011 - 96,000 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 1,500,000"
Suzuki Khyber swift,"1989 - 556,968 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 285,000"
Suzuki Swift XG L Package 1.3 2006,"2006 - 123,456 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 1,430,000"
SUZUKI SWIFT 1.3 DLX,"2015 - 54,000 km","KASHMIR ROAD, KARACHI","Rs 1,510,000"
suzuki swift Dxl 2021,"2021 - 3,200 km","MIRPUR, AZAD KASHMIR","Rs 2,265,000"
Suzuki Swift Dlx Automatic Transmission,"2015 - 55,000 km","DHA PHASE 2, KARACHI","Rs 1,670,000"
Swift dlx automatic,"2015 - 123,456 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 1,650,000"
Suzuki swift 2016,"2016 - 46,000 km","MALIR, KARACHI","Rs 1,700,000"
SUZUKI SWIFT JAPNESE 2006 UNREGISTERED PEARL WHITE CUSTOM AUCTION,"2006 - 89,000 km","GULSHAN-E-IQBAL BLOCK 4, KARACHI","Rs 1,650,000"
Swift 1.3,"2017 - 60,000 km","BAHRIA TOWN, ISLAMABAD","Rs 1,850,000"
Suzuki Swift DLX Automatic 1.3 original condition,"2013 - 82,000 km","SHADMAN TOWN, KARACHI","Rs 1,500,000"
Suzuki Swift 2017 1.3 DLX Automatic NAV 45000km Brand New Untouched,"2017 - 45,000 km","ASKARI IV, KARACHI","Rs 1,925,000"
Home user suzuki swift Dlx manual for sale,"2012 - 74,000 km","FAISALABAD, PUNJAB","Rs 1,300,000"
Suzuki Swift automatic,"2019 - 95,003 km","GULSHAN-E-SHAMEEM, KARACHI","Rs 2,125,000"
Suzuki swift Automatic,"2012 - 102,000 km","GREEN TOWN, LAHORE","Rs 1,450,000"
Khyber swift,"1989 - 25,802 km","SWABI, KHYBER PAKHTUNKHWA","Rs 160,000"
AUTO SWIFT DLX 1.3,"2014 - 99,000 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 1,485,000"
Vvip 2014 suzuki cultus vxri btr alto cuore mehran swift liana city,"2014 - 98,000 km","GULSHAN-E-IQBAL BLOCK 7, KARACHI","Rs 1,095,000"
Suzuki swift dlx,"2012 - 158,693 km","GULBERG 3, LAHORE","Rs 1,260,000"
Swift Japan Assembled 1997,"1997 - 92,000 km","LAYYAH, PUNJAB","Rs 399,000"
Khyber Swift 1997 Japan Assembled,"1997 - 92,000 km","LAYYAH, PUNJAB","Rs 399,000"
Swift 1.3 DLX manual,"2013 - 88,000 km","SCHEME 33, KARACHI","Rs 1,330,000"
Suzuki swift manual,"2018 - 31,000 km","KHAYABAN-E-SIR SYED, RAWALPINDI","Rs 1,825,000"
Szuki Swift,"2018 - 56,000 km","SADIQABAD, RAWALPINDI","Rs 1,890,000"
Suzuki Swift 2012 DXL,"2012 - 75,000 km","SIALKOT, PUNJAB","Rs 1,315,000"
Suzuki swift DLX 2014,"2014 - 103,000 km","RASHID MINHAS ROAD, LAHORE","Rs 1,530,000"
Suzuki swift dlx 1.3 abs break is upforsale mint condition,"2010 - 10,000 km","GUJRANWALA, PUNJAB","Rs 1,175,000"
Swift DLX 2016,2016 - 54 km,"GULSHAN-E-IQBAL BLOCK 1, KARACHI","Rs 1,585,000"
Suzuki Swift 1.3 Dlx Navigation,"2010 - 76,000 km","ABBOTTABAD, KHYBER PAKHTUNKHWA","Rs 1,460,000"
Suzuki swift DLX 1.3 2014,"2014 - 63,000 km","WAPDA TOWN, LAHORE","Rs 1,495,000"
Good car in reasonable price swift dlx model,"2015 - 100,000 km","CHICHAWATNI, PUNJAB","Rs 1,600,000"
Suzuki kyber swift,"1989 - 200,000 km","AHSANABAD, KARACHI","Rs 160,000"
Suzuki khyber swift,"1989 - 75,000 km","CHUNGI AMAR SADHU, LAHORE","Rs 280,000"
suzuki swift khyber 89/90,"1989 - 1,111 km","GULISTAN-E-JAUHAR BLOCK 8, KARACHI","Rs 185,000"
Suzuki Swift 2015 Pearl Red Good Condition,"2015 - 128,000 km","GULZAR-E-HIJRI, KARACHI","Rs 1,420,000"
Suzuki SWIFT 2012 perfect condition,"2012 - 94,000 km","GULISTAN-E-JAUHAR BLOCK 12, KARACHI","Rs 1,295,000"
Suzuki Swift 2019 total original,"2019 - 14,560 km","E-7, ISLAMABAD","Rs 2,140,000"
Suzuki Swift DLX ABS Model 2020 Colour Grey 18000km Spair Wheel Unused,"2020 - 18,000 km","AIRPORT, KARACHI","Rs 2,000,000"
"Swift 2018 Brand New condition, Less driven","2018 - 20,000 km","HYDERABAD, SINDH","Rs 1,785,000"
Suzuki swift dlx neat gari,"2012 - 122,000 km","MIAN CHUNNU, PUNJAB","Rs 1,235,000"
Suzuki swift modified DLx,"2010 - 150,000 km","ADIALA ROAD, RAWALPINDI","Rs 1,300,000"
Swift Automatic for sale,"2019 - 18,000 km","LAKE CITY, LAHORE","Rs 2,160,000"
Suzuki swift DX,"2015 - 173,000 km","HIGHCOURT SOCIETY, LAHORE","Rs 1,475,000"
Swift Automatic 2013 low mileage,"2013 - 62,500 km","GULSHAN-E-RAVI, LAHORE","Rs 1,520,000"
Suzuk swift dlx automatic,"2016 - 69,693 km","GARDEN EAST, KARACHI","Rs 1,825,000"
Suzuki Swift DLX 2014 Model,"2014 - 81,000 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 1,460,000"
Swift 2010,"2010 - 140,000 km","PEOPLE COLONY, RAWALPINDI","Rs 1,325,000"
Khyber swift 1992 new good condition,"1992 - 100,000 km","GHOTKI, SINDH","Rs 270,000"
suzuki swift,"1989 - 100,000 km","9TH AVENUE, ISLAMABAD","Rs 365,000"
Suzuki swift 2014,"2014 - 175,000 km","G-9, ISLAMABAD","Rs 1,450,000"
Suzuki Swift DLX,"2018 - 39,520 km","FAISALABAD, PUNJAB","Rs 1,795,000"
"Suzuki Swift(Khyabar) , modified. Family used car","1991 - 41,235 km","DHA 11 RAHBAR, LAHORE","Rs 435,000"
Suzuki swift 2013,"2013 - 78,000 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 1,320,000"
Swift DLX 2016 excellent condition for sale,"2016 - 74,000 km","RIFLE RANGE ROAD, LAHORE","Rs 1,590,000"
